Date,Open,High,Low,Close,Adj Close,Volume
2018-03-12,55.000000,57.110001,55.000000,56.970001,56.970001,1636900
2018-03-13,55.000000,57.240002,55.000000,57.240002,57.240002,1666900
2018-03-14,57.599998,58.930000,56.860001,58.639999,58.639999,1286200
2018-03-15,59.000000,59.990002,57.959999,58.200001,58.200001,1702600
2018-03-16,58.330002,58.759998,57.360001,58.610001,58.610001,1903500
2018-03-19,58.209999,58.700001,56.660000,57.180000,57.180000,1313800
2018-03-20,57.320000,57.689999,56.389999,57.369999,57.369999,1269100
2018-03-21,57.529999,57.980000,56.889999,57.270000,57.270000,666100
2018-03-22,57.080002,57.240002,55.320000,55.580002,55.580002,1448200
2018-03-23,55.369999,56.000000,54.130001,54.220001,54.220001,1685700
2018-03-26,54.840000,55.939999,54.500000,55.799999,55.799999,1092200
2018-03-27,55.959999,56.189999,53.549999,53.700001,53.700001,1011100
2018-03-28,53.520000,53.900002,52.540001,53.470001,53.470001,1100400
2018-03-29,53.410000,54.360001,52.130001,53.799999,53.799999,1903200
2018-04-02,53.549999,53.790001,52.480000,52.990002,52.990002,1727800
2018-04-03,53.130001,54.389999,53.130001,53.520000,53.520000,2155600
2018-04-04,52.830002,53.799999,51.220001,53.320000,53.320000,1457600
2018-04-05,53.880001,54.169998,52.830002,52.939999,52.939999,1420600
2018-04-06,52.700001,53.070000,52.200001,52.680000,52.680000,2119100
2018-04-09,53.000000,53.369999,51.619999,51.740002,51.740002,998700
2018-04-10,52.380001,54.000000,52.250000,53.549999,53.549999,2015600
2018-04-11,53.410000,54.049999,53.070000,53.209999,53.209999,909000
2018-04-12,53.209999,53.799999,52.459999,53.599998,53.599998,1352900
2018-04-13,48.840000,50.400002,48.000000,50.099998,50.099998,13102900
2018-04-16,50.500000,50.520000,49.200001,49.610001,49.610001,3073000
2018-04-17,49.770000,51.020000,49.230000,49.650002,49.650002,2699900
2018-04-18,48.509998,49.191002,47.779999,48.810001,48.810001,2459700
2018-04-19,48.490002,48.605000,46.900002,46.959999,46.959999,2311500
2018-04-20,47.000000,47.970001,46.680000,47.180000,47.180000,1944100
2018-04-23,48.680000,48.810001,47.369999,47.939999,47.939999,1936000
2018-04-24,48.090000,48.939999,47.439999,47.680000,47.680000,1945800
2018-04-25,47.669998,48.320000,46.880001,47.500000,47.500000,1501100
2018-04-26,47.540001,48.029999,47.270000,47.310001,47.310001,993700
2018-04-27,47.610001,47.610001,46.250000,47.259998,47.259998,1612600
2018-04-30,47.290001,48.790001,47.290001,48.490002,48.490002,1631500
2018-05-01,48.490002,49.779999,48.490002,49.720001,49.720001,2286400
2018-05-02,49.639999,51.529999,49.639999,50.830002,50.830002,3053600
2018-05-03,50.529999,51.610001,50.270000,51.509998,51.509998,2226300
2018-05-04,51.639999,53.139999,50.939999,52.849998,52.849998,2336500
2018-05-07,52.919998,56.020000,52.919998,55.910000,55.910000,4400800
2018-05-08,51.500000,57.099998,51.209999,55.099998,55.099998,8119100
2018-05-09,55.000000,56.779999,54.630001,56.380001,56.380001,2486200
2018-05-10,56.540001,57.220001,54.810001,55.330002,55.330002,2667000
2018-05-11,55.250000,55.820000,54.520000,54.910000,54.910000,2436400
2018-05-14,55.180000,55.799999,54.400002,54.650002,54.650002,1146800
2018-05-15,54.139999,54.395000,51.970001,52.099998,52.099998,2548900
2018-05-16,51.990002,53.580002,51.790001,53.000000,53.000000,1343200
2018-05-17,53.200001,53.320000,51.889999,52.115002,52.115002,1489000
2018-05-18,52.000000,52.150002,51.009998,51.669998,51.669998,1605000
2018-05-21,51.980000,52.330002,51.599998,51.869999,51.869999,876400
2018-05-22,51.900002,52.150002,51.070000,51.860001,51.860001,874700
2018-05-23,51.500000,54.639999,51.500000,54.560001,54.560001,4138000
2018-05-24,54.580002,56.529999,54.459999,56.000000,56.000000,4428100
2018-05-25,55.990002,56.400002,55.290001,56.150002,56.150002,1946400
2018-05-29,55.889999,56.380001,54.110001,54.759998,54.759998,2049200
2018-05-30,55.189999,58.259998,54.995998,57.619999,57.619999,2643900
2018-05-31,57.599998,59.400002,57.549999,58.330002,58.330002,2990700
2018-06-01,59.889999,59.889999,58.369999,59.029999,59.029999,1677700
2018-06-04,59.639999,60.220001,58.549999,59.330002,59.330002,1673400
2018-06-05,59.639999,61.259998,59.619999,60.830002,60.830002,1518500
2018-06-06,61.090000,62.340000,61.090000,62.209999,62.209999,1244600
2018-06-07,62.209999,62.540001,60.430000,61.520000,61.520000,1244600
2018-06-08,61.330002,62.669998,61.110001,62.430000,62.430000,1129300
2018-06-11,62.599998,63.279999,62.250000,62.650002,62.650002,982900
2018-06-12,62.950001,65.029999,62.660999,64.339996,64.339996,1800600
2018-06-13,64.339996,65.480003,63.810001,63.990002,63.990002,1499200
2018-06-14,64.510002,65.300003,62.724998,65.089996,65.089996,1734000
2018-06-15,65.089996,65.699997,64.394997,65.570000,65.570000,1990500
2018-06-18,63.180000,64.970001,62.549999,64.779999,64.779999,1776900
2018-06-19,63.980000,65.110001,62.730000,63.080002,63.080002,1721100
2018-06-20,63.910000,64.870003,63.910000,64.660004,64.660004,1176400
2018-06-21,64.760002,65.000000,61.779999,61.840000,61.840000,1400300
2018-06-22,61.939999,62.430000,60.654999,61.459999,61.459999,1791000
2018-06-25,61.700001,61.950001,59.490002,60.750000,60.750000,1222500
2018-06-26,60.740002,61.509998,60.145000,60.799999,60.799999,1244100
2018-06-27,60.910000,61.799999,60.419998,60.700001,60.700001,1055100
2018-06-28,57.619999,59.389999,57.500000,58.619999,58.619999,3923700
2018-06-29,58.849998,59.369999,57.049999,59.060001,59.060001,6212800
2018-07-02,58.150002,60.570000,58.150002,60.250000,60.250000,1816800
2018-07-03,60.680000,61.110001,59.660000,60.290001,60.290001,518300
2018-07-05,60.279999,61.020000,59.590000,60.799999,60.799999,1138600
2018-07-06,60.689999,62.400002,60.419998,62.330002,62.330002,809200
2018-07-09,62.529999,62.900002,60.689999,61.669998,61.669998,1707600
2018-07-10,61.970001,62.110001,60.610001,60.939999,60.939999,811800
2018-07-11,60.320000,61.959999,59.271999,61.639999,61.639999,863100
2018-07-12,61.810001,63.330002,61.740002,63.060001,63.060001,931500
2018-07-13,63.060001,63.439999,62.029999,62.810001,62.810001,1299900
2018-07-16,62.910000,63.259998,62.640999,62.900002,62.900002,844000
2018-07-17,62.330002,63.860001,62.330002,63.529999,63.529999,997800
2018-07-18,63.500000,63.650002,62.450001,62.959999,62.959999,600100
2018-07-19,62.840000,63.360001,62.599998,62.919998,62.919998,514100
2018-07-20,63.080002,63.334999,61.860001,61.959999,61.959999,767900
2018-07-23,62.029999,63.080002,61.950001,62.970001,62.970001,540600
2018-07-24,61.630001,63.189999,60.480000,60.799999,60.799999,1182600
2018-07-25,61.009998,62.099998,60.849998,62.029999,62.029999,1285600
2018-07-26,61.029999,62.330002,60.299999,61.980000,61.980000,1029600
2018-07-27,61.750000,61.939999,57.119999,57.779999,57.779999,3046800
2018-07-30,57.700001,57.770000,55.450001,55.720001,55.720001,2095100
2018-07-31,56.160000,56.439999,54.750000,55.700001,55.700001,1717300
2018-08-01,56.099998,57.000000,54.950001,56.680000,56.680000,1312600
2018-08-02,56.220001,57.639999,55.310001,57.110001,57.110001,1516800
2018-08-03,57.349998,57.740002,56.250000,57.570000,57.570000,1135000
2018-08-06,57.529999,58.750000,56.930000,58.150002,58.150002,3748800
2018-08-07,48.939999,49.980000,47.830002,49.560001,49.560001,18720400
2018-08-08,50.040001,51.580002,49.654999,50.950001,50.950001,4599900
2018-08-09,51.110001,51.490002,49.450001,50.950001,50.950001,3574900
2018-08-10,50.160000,50.384998,48.459999,48.980000,48.980000,3816300
2018-08-13,49.040001,49.122002,47.230000,47.340000,47.340000,3028500
2018-08-14,47.730000,48.189999,46.740002,48.000000,48.000000,1639700
2018-08-15,47.470001,48.360001,46.279999,46.700001,46.700001,2299900
2018-08-16,47.240002,47.590000,46.540001,46.630001,46.630001,2050300
2018-08-17,46.730000,46.730000,45.509998,46.270000,46.270000,1476000
2018-08-20,46.130001,48.400002,46.000000,47.980000,47.980000,1933900
2018-08-21,48.009998,48.950001,48.009998,48.470001,48.470001,2332300
2018-08-22,48.240002,49.099998,47.810001,47.900002,47.900002,1298600
2018-08-23,47.720001,48.500000,47.369999,47.470001,47.470001,1018600
2018-08-24,47.470001,47.900002,46.919998,46.970001,46.970001,1709700
2018-08-27,47.180000,48.009998,47.160000,47.740002,47.740002,1275700
2018-08-28,48.000000,48.459999,47.270000,47.930000,47.930000,910700
2018-08-29,47.849998,48.055000,47.750000,47.990002,47.990002,1067400
2018-08-30,48.000000,48.660000,47.869999,48.220001,48.220001,1179900
2018-08-31,48.259998,48.820000,47.599998,48.650002,48.650002,3709000
2018-09-04,48.549999,48.900002,47.560001,47.689999,47.689999,1447300
